DvsL:FW [0.50, 0.35, 0.65]

DvsP:DF [1.30, 0.25, 0.00]
DvsP:DM [1.15, 0.65, 0.00]
DvsP:MF [1.00, 0.75, 0.10]
DvsP:AM [0.65, 0.75, 0.50]
DvsP:FW [0.50, 0.35, 0.65]

DvsT:DF [1.30, 0.25, 0.00]
DvsT:DM [1.15, 0.65, 0.00]
DvsT:MF [1.00, 0.75, 0.20]
DvsT:AM [0.65, 0.65, 0.50]
DvsT:FW [0.50, 0.25, 0.65]

NvsE:DF [1.20, 0.60, 0.20]
NvsE:DM [0.70, 0.80, 0.35]
NvsE:MF [0.45, 1.25, 0.45]
NvsE:AM [0.35, 0.80, 0.75]
NvsE:FW [0.20, 0.80, 1.25]

NvsA:DF [1.20, 0.60, 0.20]
NvsA:DM [0.70, 0.80, 0.35]
NvsA:MF [0.45, 1.25, 0.45]
NvsA:AM [0.35, 0.80, 0.75]
NvsA:FW [0.20, 0.80, 1.25]

NvsT:DF [1.00, 0.50, 0.30]
NvsT:DM [0.90, 0.87, 0.30]
NvsT:MF [0.65, 1.00, 0.65]
NvsT:AM [0.30, 1.00, 0.90]
NvsT:FW [0.30, 0.75, 1.00]


PvsN:DF [1.00, 0.80, 0.30]
PvsN:DM [0.70, 1.00, 0.20]
PvsN:MF [0.30, 1.30, 0.30]
PvsN:AM [0.25, 1.00, 0.70]
PvsN:FW [0.25, 0.80, 1.10]

PvsL:DF [1.00, 0.80, 0.30]
PvsL:DM [0.70, 1.00, 0.20]
PvsL:MF [0.30, 1.30, 0.30]
PvsL:AM [0.25, 1.00, 0.70]
PvsL:FW [0.25, 0.80, 1.10]

PvsT:DF [1.00, 0.75, 0.30]
PvsT:DM [0.90, 0.85, 0.20]
PvsT:MF [0.50, 1.00, 0.50]
PvsT:AM [0.25, 0.85, 0.90]
PvsT:FW [0.25, 0.75, 1.25]
